##Databases: KEGG PATHWAY, Reactome
##Statistical test method: hypergeometric test / Fisher's exact test
##FDR correction method: Benjamini and Hochberg

#Term	Database	ID	Input number	Background number	P-Value	Corrected P-Value	Input	Hyperlink
Endosomal/Vacuolar pathway	Reactome	R-HSA-1236977	1	11	0.112447313957	0.241637053338	CTSL2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1236977
Glutathione metabolism	KEGG PATHWAY	hsa00480	2	56	0.112499059776	0.241637053338	GGT1|GSTO1	http://www.genome.jp/kegg-bin/show_pathway?hsa00480/hsa:2678%09red/hsa:9446%09red
Meiosis	Reactome	R-HSA-1500620	3	116	0.114399611915	0.245178022893	H2A|TOP3A|H2B	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1500620
Interleukin-12 family signaling	Reactome	R-HSA-447115	2	57	0.115718303125	0.246916466974	GSTO1|ALS	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-447115
E3 ubiquitin ligases ubiquitinate target proteins	Reactome	R-HSA-8866654	2	57	0.115718303125	0.246916466974	PEX13|PRKDC	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-8866654
Carbon metabolism	KEGG PATHWAY	hsa01200	3	117	0.116521686721	0.24808665466	GCSP|FBP1|SERA	http://www.genome.jp/kegg-bin/show_pathway?hsa01200/hsa:26227%09red/hsa:2203%09red/hsa:2731%09red
mRNA 3'-end processing	Reactome	R-HSA-72187	2	58	0.118960780625	0.252726723903	U2AF1|THOC6	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-72187
Josephin domain DUBs	Reactome	R-HSA-5689877	1	12	0.121227867484	0.254761803589	ATX3	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5689877
Glutathione synthesis and recycling	Reactome	R-HSA-174403	1	12	0.121227867484	0.254761803589	GGT1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-174403
Ionotropic activity of kainate receptors	Reactome	R-HSA-451306	1	12	0.121227867484	0.254761803589	EAA2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-451306
TP53 Regulates Transcription of Caspase Activators and Caspases	Reactome	R-HSA-6803207	1	12	0.121227867484	0.254761803589	CASP2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-6803207
Activation of Ca-permeable Kainate Receptor	Reactome	R-HSA-451308	1	12	0.121227867484	0.254761803589	EAA2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-451308
Arachidonic acid metabolism	Reactome	R-HSA-2142753	2	59	0.122225720941	0.255754035431	GGT1|DPEP1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-2142753
@@Arachidonic acid metabolism	KEGG PATHWAY	hsa00590	2	63	0.135495131874	0.273520255838	GGT1|PLB1	http://www.genome.jp/kegg-bin/show_pathway?hsa00590/hsa:151056%09red/hsa:2678%09red
Regulation of PTEN gene transcription	Reactome	R-HSA-8943724	2	59	0.122225720941	0.255754035431	SNAI2|NR2E1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-8943724
AMPK signaling pathway	KEGG PATHWAY	hsa04152	3	120	0.122975451905	0.256770632412	FBP1|FAT|G6PC2	http://www.genome.jp/kegg-bin/show_pathway?hsa04152/hsa:948%09red/hsa:57818%09red/hsa:2203%09red
Viral myocarditis	KEGG PATHWAY	hsa05416	2	60	0.125512365651	0.260391325753	CYC|LAMA	http://www.genome.jp/kegg-bin/show_pathway?hsa05416/hsa:284217%09red/hsa:54205%09red
NCAM signaling for neurite out-growth	Reactome	R-HSA-375165	2	60	0.125512365651	0.260391325753	AGRIN|NCAN	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-375165
Assembly of collagen fibrils and other multimeric structures	Reactome	R-HSA-2022090	2	60	0.125512365651	0.260391325753	LAMA3|CTSL2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-2022090
MHC class II antigen presentation	Reactome	R-HSA-2132295	3	123	0.129556321332	0.26613449799	GILT|DCTN1|CTSL2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-2132295
Non-homologous end-joining	KEGG PATHWAY	hsa03450	1	13	0.129921774456	0.26613449799	PRKDC	http://www.genome.jp/kegg-bin/show_pathway?hsa03450/hsa:5591%09red
Cytochrome c-mediated apoptotic response	Reactome	R-HSA-111461	1	13	0.129921774456	0.26613449799	CYC	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-111461
Cytosolic iron-sulfur cluster assembly	Reactome	R-HSA-2564830	1	13	0.129921774456	0.26613449799	BACH1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-2564830
Trafficking and processing of endosomal TLR	Reactome	R-HSA-1679131	1	13	0.129921774456	0.26613449799	CTSL2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1679131
Passive transport by Aquaporins	Reactome	R-HSA-432047	1	13	0.129921774456	0.26613449799	AQP8	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-432047
Constitutive Signaling by Aberrant PI3K in Cancer	Reactome	R-HSA-2219530	2	62	0.132147798056	0.269281589252	MET|BCAP	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-2219530
Cytosolic sensors of pathogen-associated DNA 	Reactome	R-HSA-1834949	2	62	0.132147798056	0.269281589252	TBK1|PRKDC	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1834949
Calcium signaling pathway	KEGG PATHWAY	hsa04020	4	193	0.132288386087	0.269281589252	NOP9|ADRB1|CCKAR|DRD1	http://www.genome.jp/kegg-bin/show_pathway?hsa04020/hsa:1812%09red/hsa:153%09red/hsa:56413%09red/hsa:886%09red
Interferon Signaling	Reactome	R-HSA-913531	4	194	0.134033589768	0.272264473579	GILT|TRIM3|TRIM2|DSRAD	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-913531
Cytosolic DNA-sensing pathway	KEGG PATHWAY	hsa04623	2	63	0.135495131874	0.273520255838	DSRAD|TBK1	http://www.genome.jp/kegg-bin/show_pathway?hsa04623/hsa:29110%09red/hsa:103%09red
RNA Polymerase I Promoter Opening	Reactome	R-HSA-73728	2	63	0.135495131874	0.273520255838	H2A|H2B	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-73728
Mitotic Metaphase and Anaphase	Reactome	R-HSA-2555396	4	195	0.135788208877	0.273544362811	FBX5|PSME4|CENPI|BUB1B	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-2555396
CREB1 phosphorylation through the activation of Adenylate Cyclase	Reactome	R-HSA-442720	1	14	0.138529887736	0.276208157311	PKR2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-442720
Mismatch repair (MMR) directed by MSH2:MSH6 (MutSalpha)	Reactome	R-HSA-5358565	1	14	0.138529887736	0.276208157311	COCA1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5358565
InlB-mediated entry of Listeria monocytogenes into host cell	Reactome	R-HSA-8875360	1	14	0.138529887736	0.276208157311	MET	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-8875360
Prolactin receptor signaling	Reactome	R-HSA-1170546	1	14	0.138529887736	0.276208157311	CSH1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1170546
Response to metal ions	Reactome	R-HSA-5660526	1	14	0.138529887736	0.276208157311	CSRP1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5660526
Cortisol synthesis and secretion	KEGG PATHWAY	hsa04927	2	65	0.142245491888	0.281310698388	LDLR|NCEH1	http://www.genome.jp/kegg-bin/show_pathway?hsa04927/hsa:57552%09red/hsa:3949%09red
Inflammatory bowel disease (IBD)	KEGG PATHWAY	hsa05321	2	65	0.142245491888	0.281310698388	ROR1|TLR4	http://www.genome.jp/kegg-bin/show_pathway?hsa05321/hsa:7099%09red/hsa:6095%09red
DNA methylation	Reactome	R-HSA-5334118	2	65	0.142245491888	0.281310698388	H2A|H2B	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5334118
Oxygen-dependent proline hydroxylation of Hypoxia-inducible Factor Alpha	Reactome	R-HSA-1234176	2	65	0.142245491888	0.281310698388	HLF|PSME4	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1234176
Glycosphingolipid biosynthesis - globo and isoglobo series	KEGG PATHWAY	hsa00603	1	15	0.147053051816	0.285025138281	FUT2	http://www.genome.jp/kegg-bin/show_pathway?hsa00603/hsa:2524%09red
Anchoring fibril formation	Reactome	R-HSA-2214320	1	15	0.147053051816	0.285025138281	LAMA3	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-2214320
Pentose phosphate pathway	Reactome	R-HSA-71336	1	15	0.147053051816	0.285025138281	SHPK	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-71336
@@Pentose phosphate pathway	KEGG PATHWAY	hsa00030	1	30	0.265256171569	0.385791113507	FBP1	http://www.genome.jp/kegg-bin/show_pathway?hsa00030/hsa:2203%09red
Regulation of innate immune responses to cytosolic DNA	Reactome	R-HSA-3134975	1	15	0.147053051816	0.285025138281	TBK1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-3134975
Negative regulation of TCF-dependent signaling by WNT ligand antagonists	Reactome	R-HSA-3772470	1	15	0.147053051816	0.285025138281	LRP6	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-3772470
cGMP effects	Reactome	R-HSA-418457	1	15	0.147053051816	0.285025138281	PDE2A	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-418457
Eicosanoid ligand-binding receptors	Reactome	R-HSA-391903	1	15	0.147053051816	0.285025138281	NOP9	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-391903
Synthesis of bile acids and bile salts via 27-hydroxycholesterol	Reactome	R-HSA-193807	1	15	0.147053051816	0.285025138281	NCOA1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-193807
Apoptotic factor-mediated response	Reactome	R-HSA-111471	1	15	0.147053051816	0.285025138281	CYC	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-111471
Nucleobase biosynthesis	Reactome	R-HSA-8956320	1	15	0.147053051816	0.285025138281	UMPS	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-8956320
RNA Polymerase II Transcription Termination	Reactome	R-HSA-73856	2	67	0.149065524303	0.287779276084	U2AF1|THOC6	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-73856
Activated PKN1 stimulates transcription of AR (androgen receptor) regulated genes KLK2 and KLK3	Reactome	R-HSA-5625886	2	67	0.149065524303	0.287779276084	H2A|H2B	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5625886
Proteoglycans in cancer	KEGG PATHWAY	hsa05205	4	203	0.150153688811	0.289306018243	MET|TIMP3|PLC|TLR4	http://www.genome.jp/kegg-bin/show_pathway?hsa05205/hsa:7099%09red/hsa:7078%09red/hsa:3339%09red/hsa:4233%09red
Oxidative phosphorylation	KEGG PATHWAY	hsa00190	3	133	0.152340743748	0.291517667443	COX3|ATPO|COX5A	http://www.genome.jp/kegg-bin/show_pathway?hsa00190/hsa:539%09red/hsa:9377%09red/hsa:4514%09red
Golgi-to-ER retrograde transport	Reactome	R-HSA-8856688	3	133	0.152340743748	0.291517667443	KIF27|DCTN1|GBF1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-8856688
Amphetamine addiction	KEGG PATHWAY	hsa05031	2	68	0.152499992527	0.291517667443	DDC|DRD1	http://www.genome.jp/kegg-bin/show_pathway?hsa05031/hsa:1812%09red/hsa:1644%09red
COPII-mediated vesicle transport	Reactome	R-HSA-204005	2	68	0.152499992527	0.291517667443	TFG|LMAN2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-204005
Caspase activation via Death Receptors in the presence of ligand	Reactome	R-HSA-140534	1	16	0.155492102894	0.292932904585	TLR4	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-140534
MECP2 regulates neuronal receptors and channels	Reactome	R-HSA-9022699	1	16	0.155492102894	0.292932904585	MET	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-9022699
TRAF6-mediated induction of TAK1 complex within TLR4 complex	Reactome	R-HSA-937072	1	16	0.155492102894	0.292932904585	TLR4	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-937072
IRAK2 mediated activation of TAK1 complex upon TLR7/8 or 9 stimulation	Reactome	R-HSA-975163	1	16	0.155492102894	0.292932904585	TLR4	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-975163
Adipocytokine signaling pathway	KEGG PATHWAY	hsa04920	2	69	0.15594989165	0.292932904585	FAT|G6PC2	http://www.genome.jp/kegg-bin/show_pathway?hsa04920/hsa:948%09red/hsa:57818%09red
Renal cell carcinoma	KEGG PATHWAY	hsa05211	2	69	0.15594989165	0.292932904585	HLF|MET	http://www.genome.jp/kegg-bin/show_pathway?hsa05211/hsa:2034%09red/hsa:4233%09red
Central carbon metabolism in cancer	KEGG PATHWAY	hsa05230	2	69	0.15594989165	0.292932904585	MET|TIGAR	http://www.genome.jp/kegg-bin/show_pathway?hsa05230/hsa:57103%09red/hsa:4233%09red
Loss of Nlp from mitotic centrosomes	Reactome	R-HSA-380259	2	69	0.15594989165	0.292932904585	CEP63|SSNA1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-380259
Loss of proteins required for interphase microtubule organization from the centrosome	Reactome	R-HSA-380284	2	69	0.15594989165	0.292932904585	CEP63|SSNA1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-380284
RIG-I-like receptor signaling pathway	KEGG PATHWAY	hsa04622	2	70	0.159414582906	0.298863948299	TRAF3|TBK1	http://www.genome.jp/kegg-bin/show_pathway?hsa04622/hsa:29110%09red/hsa:7187%09red
Cdc20:Phospho-APC/C mediated degradation of Cyclin A	Reactome	R-HSA-174184	2	71	0.162893438595	0.299669128751	PSME4|BUB1B	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-174184
Rap1 signaling pathway	KEGG PATHWAY	hsa04015	4	210	0.163177709863	0.299669128751	TIE2|VEGFD|BAP1|MET	http://www.genome.jp/kegg-bin/show_pathway?hsa04015/hsa:2277%09red/hsa:7010%09red/hsa:4233%09red/hsa:9223%09red
Phenylalanine metabolism	KEGG PATHWAY	hsa00360	1	17	0.163847868957	0.299669128751	DDC	http://www.genome.jp/kegg-bin/show_pathway?hsa00360/hsa:1644%09red
SUMOylation of transcription factors	Reactome	R-HSA-3232118	1	17	0.163847868957	0.299669128751	FOXL2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-3232118
Vitamin B5 (pantothenate) metabolism	Reactome	R-HSA-199220	1	17	0.163847868957	0.299669128751	COASY	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-199220
PKA activation in glucagon signalling	Reactome	R-HSA-164378	1	17	0.163847868957	0.299669128751	PKR2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-164378
Plasma lipoprotein assembly	Reactome	R-HSA-8963898	1	17	0.163847868957	0.299669128751	ABL	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-8963898
Tristetraprolin (TTP, ZFP36) binds and destabilizes mRNA	Reactome	R-HSA-450513	1	17	0.163847868957	0.299669128751	XRN1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-450513
Tie2 Signaling	Reactome	R-HSA-210993	1	17	0.163847868957	0.299669128751	TIE2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-210993
Regulation of RUNX1 Expression and Activity	Reactome	R-HSA-8934593	1	17	0.163847868957	0.299669128751	AGO2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-8934593
Diseases associated with N-glycosylation of proteins	Reactome	R-HSA-3781860	1	17	0.163847868957	0.299669128751	ALG2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-3781860
Butyrate Response Factor 1 (BRF1) binds and destabilizes mRNA	Reactome	R-HSA-450385	1	17	0.163847868957	0.299669128751	XRN1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-450385
Regulation of necroptotic cell death	Reactome	R-HSA-5675482	1	17	0.163847868957	0.299669128751	BIRC3	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5675482
Adherens junction	KEGG PATHWAY	hsa04520	2	72	0.166385841925	0.301477512464	SNAI2|MET	http://www.genome.jp/kegg-bin/show_pathway?hsa04520/hsa:6591%09red/hsa:4233%09red
Transport of Mature mRNA derived from an Intron-Containing Transcript	Reactome	R-HSA-159236	2	72	0.166385841925	0.301477512464	U2AF1|THOC6	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-159236
trans-Golgi Network Vesicle Budding	Reactome	R-HSA-199992	2	72	0.166385841925	0.301477512464	AP4B1|GBF1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-199992
AURKA Activation by TPX2	Reactome	R-HSA-8854518	2	72	0.166385841925	0.301477512464	CEP63|SSNA1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-8854518
APC:Cdc20 mediated degradation of cell cycle proteins prior to satisfation of the cell cycle checkpoint	Reactome	R-HSA-179419	2	72	0.166385841925	0.301477512464	PSME4|BUB1B	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-179419
Human immunodeficiency virus 1 infection	KEGG PATHWAY	hsa05170	4	212	0.166972105314	0.301977432102	CYC|DCAF1|TLR4|TBK1	http://www.genome.jp/kegg-bin/show_pathway?hsa05170/hsa:29110%09red/hsa:54205%09red/hsa:7099%09red/hsa:9730%09red
PRC2 methylates histones and DNA	Reactome	R-HSA-212300	2	73	0.169891186864	0.306118749664	H2A|H2B	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-212300
Condensation of Prophase Chromosomes	Reactome	R-HSA-2299718	2	73	0.169891186864	0.306118749664	H2A|H2B	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-2299718
G alpha (q) signalling events	Reactome	R-HSA-416476	4	214	0.170797703305	0.306168004166	NOP9|QRFPR|CCKAR|GPR54	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-416476
Reproduction	Reactome	R-HSA-1474165	3	141	0.171406401513	0.306168004166	H2A|TOP3A|H2B	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1474165
Formation of ATP by chemiosmotic coupling	Reactome	R-HSA-163210	1	18	0.172121169865	0.306168004166	ATPO	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-163210
Metabolism of amine-derived hormones	Reactome	R-HSA-209776	1	18	0.172121169865	0.306168004166	DDC	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-209776
Lewis blood group biosynthesis	Reactome	R-HSA-9037629	1	18	0.172121169865	0.306168004166	FUT2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-9037629
ABC transporters in lipid homeostasis	Reactome	R-HSA-1369062	1	18	0.172121169865	0.306168004166	ABCA3	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1369062
Metabolism of Angiotensinogen to Angiotensins	Reactome	R-HSA-2022377	1	18	0.172121169865	0.306168004166	NEP	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-2022377
APC/C:Cdc20 mediated degradation of mitotic proteins	Reactome	R-HSA-176409	2	74	0.173408877982	0.307186295014	PSME4|BUB1B	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-176409
Cellular response to hypoxia	Reactome	R-HSA-1234174	2	74	0.173408877982	0.307186295014	HLF|PSME4	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1234174
Infectious disease	Reactome	R-HSA-5663205	6	372	0.173640762855	0.307186295014	RCC1|TAF5|TAF2|PSME4|MET|CCNT2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5663205
GPCR ligand binding	Reactome	R-HSA-500792	7	454	0.17456829596	0.307858892059	NOP9|QRFPR|CCKAR|H4|DRD1|ADRB1|GPR54	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-500792
Signaling by ROBO receptors	Reactome	R-HSA-376176	4	216	0.174653759935	0.307858892059	PSME4|GST1|SLIT1|PKR2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-376176
Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins	Reactome	R-HSA-176814	2	75	0.176938330305	0.309710823632	PSME4|BUB1B	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-176814
Beta-catenin independent WNT signaling	Reactome	R-HSA-3858494	3	144	0.17872502158	0.309710823632	PSME4|RYK|AGO2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-3858494
Glycosaminoglycan degradation	KEGG PATHWAY	hsa00531	1	19	0.180312817426	0.309710823632	ARSB	http://www.genome.jp/kegg-bin/show_pathway?hsa00531/hsa:411%09red
Pantothenate and CoA biosynthesis	KEGG PATHWAY	hsa00770	1	19	0.180312817426	0.309710823632	COASY	http://www.genome.jp/kegg-bin/show_pathway?hsa00770/hsa:80347%09red
Regulated Necrosis	Reactome	R-HSA-5218859	1	19	0.180312817426	0.309710823632	BIRC3	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5218859
PKA activation	Reactome	R-HSA-163615	1	19	0.180312817426	0.309710823632	PKR2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-163615
Listeria monocytogenes entry into host cells	Reactome	R-HSA-8876384	1	19	0.180312817426	0.309710823632	MET	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-8876384
Branched-chain amino acid catabolism	Reactome	R-HSA-70895	1	19	0.180312817426	0.309710823632	ACAD8	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-70895
Signaling by Hippo	Reactome	R-HSA-2028269	1	19	0.180312817426	0.309710823632	LATS1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-2028269
Chondroitin sulfate biosynthesis	Reactome	R-HSA-2022870	1	19	0.180312817426	0.309710823632	NCAN	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-2022870
RIPK1-mediated regulated necrosis	Reactome	R-HSA-5213460	1	19	0.180312817426	0.309710823632	BIRC3	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5213460
Class I peroxisomal membrane protein import	Reactome	R-HSA-9603798	1	19	0.180312817426	0.309710823632	PEX13	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-9603798
Cell death signalling via NRAGE, NRIF and NADE	Reactome	R-HSA-204998	2	76	0.180478969167	0.309710823632	OBSCN|CASP2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-204998
ABC transporter disorders	Reactome	R-HSA-5619084	2	76	0.180478969167	0.309710823632	PSME4|ABCA3	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5619084
ERCC6 (CSB) and EHMT2 (G9a) positively regulate rRNA expression	Reactome	R-HSA-427389	2	76	0.180478969167	0.309710823632	H2A|H2B	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-427389
Meiotic synapsis	Reactome	R-HSA-1221632	2	77	0.184030230064	0.31524896805	H2A|H2B	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1221632
DDX58/IFIH1-mediated induction of interferon-alpha/beta	Reactome	R-HSA-168928	2	78	0.18759155851	0.318291975449	TRAF3|TBK1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-168928
Regulation of insulin secretion	Reactome	R-HSA-422356	2	78	0.18759155851	0.318291975449	FAT|PKR2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-422356
TICAM1, RIP1-mediated IKK complex recruitment 	Reactome	R-HSA-168927	1	20	0.188423615476	0.318291975449	BIRC3	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-168927
Inhibition of the proteolytic activity of APC/C required for the onset of anaphase by mitotic spindle checkpoint components	Reactome	R-HSA-141405	1	20	0.188423615476	0.318291975449	BUB1B	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-141405
Signal transduction by L1	Reactome	R-HSA-445144	1	20	0.188423615476	0.318291975449	L1CAM	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-445144
Negative regulation of MET activity	Reactome	R-HSA-6807004	1	20	0.188423615476	0.318291975449	MET	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-6807004
Inactivation of APC/C via direct inhibition of the APC/C complex	Reactome	R-HSA-141430	1	20	0.188423615476	0.318291975449	BUB1B	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-141430
TP53 Regulates Transcription of Genes Involved in Cytochrome C Release	Reactome	R-HSA-6803204	1	20	0.188423615476	0.318291975449	AMID	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-6803204
Non-alcoholic fatty liver disease (NAFLD)	KEGG PATHWAY	hsa04932	3	149	0.191106582298	0.322264652645	CYC|COX3|COX5A	http://www.genome.jp/kegg-bin/show_pathway?hsa04932/hsa:9377%09red/hsa:54205%09red/hsa:4514%09red
ZBP1(DAI) mediated induction of type I IFNs	Reactome	R-HSA-1606322	1	21	0.19645435996	0.328436584607	TBK1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1606322
Nitric oxide stimulates guanylate cyclase	Reactome	R-HSA-392154	1	21	0.19645435996	0.328436584607	PDE2A	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-392154
PKA-mediated phosphorylation of CREB	Reactome	R-HSA-111931	1	21	0.19645435996	0.328436584607	PKR2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-111931
VxPx cargo-targeting to cilium	Reactome	R-HSA-5620916	1	21	0.19645435996	0.328436584607	GBF1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5620916
Interleukin-37 signaling	Reactome	R-HSA-9008059	1	21	0.19645435996	0.328436584607	TBK1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-9008059
Transport of Mature Transcript to Cytoplasm	Reactome	R-HSA-72202	2	81	0.198330551583	0.330948812432	U2AF1|THOC6	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-72202
